media_type,media_series,creation_category,date,time_start,time_end,duration,media_title,video_type,video_subtype
Movies,Jurassic Park Series,Editing Video,6/28/2025,11:25:00 PM,11:48:00 PM,23,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/28/2025,11:50:00 PM,11:58:00 PM,8,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/29/2025,9:30:00 AM,9:34:00 AM,4,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/29/2025,10:52:00 AM,11:08:00 AM,16,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/29/2025,4:56:00 PM,5:04:00 PM,8,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/29/2025,5:10:00 PM,5:19:00 PM,9,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/29/2025,5:21:00 PM,5:38:00 PM,17,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/29/2025,5:41:00 PM,6:00:00 PM,19,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/29/2025,7:14:00 PM,7:29:00 PM,15,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/29/2025,10:45:00 PM,12:30:00 AM,105,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/30/2025,8:28:00 AM,8:38:00 AM,10,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/30/2025,8:44:00 AM,8:51:00 AM,7,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/30/2025,11:16:00 AM,11:28:00 AM,12,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/30/2025,1:38:00 PM,2:14:00 PM,36,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/30/2025,3:14:00 PM,4:22:00 PM,68,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,6/30/2025,5:31:00 PM,5:32:00 PM,1,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Uploading Video,6/30/2025,6:04:00 PM,6:13:00 PM,9,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Pictures,6/30/2025,7:51:00 PM,8:00:00 PM,9,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Pictures,6/30/2025,8:02:00 PM,8:33:00 PM,31,Jurassic World: Dominion,Review,3 Things
Movies ,Jurassic Park Series,Editing Video,6/30/2025,8:52:00 PM,8:59:00 PM,7,Jurassic World: Dominion,Review,3 Things
Movies ,Jurassic Park Series,Editing Video,6/30/2025,9:02:00 PM,9:27:00 PM,25,Jurassic World: Dominion,Review,3 Things
Movies ,Jurassic Park Series,Editing Video,6/30/2025,9:30:00 PM,9:34:00 PM,4,Jurassic World: Dominion,Review,3 Things
Movies ,Jurassic Park Series,Editing Video,6/30/2025,10:20:00 PM,11:55:00 PM,95,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Uploading Video,6/30/2025,12:04:00 AM,12:06:00 AM,2,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,7/1/2025,6:35:00 AM,6:42:00 AM,7,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Uploading Video,7/1/2025,6:42:00 AM,6:45:00 AM,3,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,7/1/2025,6:45:00 AM,6:48:00 AM,3,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,7/1/2025,8:27:00 AM,8:35:00 AM,8,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Uploading Video,7/1/2025,8:39:00 AM,8:41:00 AM,2,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Editing Video,7/1/2025,2:31:00 PM,2:45:00 PM,14,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Uploading Video,7/1/2025,3:47:00 PM,4:11:00 PM,24,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Monetization,7/1/2025,4:11:00 PM,4:14:00 PM,3,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Monetization,7/1/2025,4:14:00 PM,4:15:00 PM,1,Jurassic World: Fallen Kingdom,Review,3 Things
Movies,Jurassic Park Series,Pictures,7/1/2025,4:16:00 PM,4:22:00 PM,6,Jurassic World: Dominion,Review,3 Things
Movies,Jurassic Park Series,Writing Script,7/1/2025,6:02:00 PM,6:22:00 PM,20,Jurassic Park Movies,Rankings,Character Rankings
Movies,Jurassic Park Series,Writing Script,7/1/2025,8:01:00 PM,8:13:00 PM,12,Jurassic Park Movies,Rankings,Character Rankings
Movies,Indiana Jones Series,Monetization,7/2/2025,7:00:00 AM,7:03:00 AM,3,Indiana Jones and the Last Crusade,Review,3 Things
Movies,Indiana Jones Series,Monetization,7/2/2025,7:03:00 AM,7:07:00 AM,4,Indiana Jones and the Kingdom of the Crystal Skull,Review,3 Things
Movies,Jurassic Park Series,Writing Script,7/2/2025,2:38:00 PM,3:10:00 PM,32,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies ,Jurassic Park Series,Recording Video,7/2/2025,3:11:00 PM,3:49:00 PM,38,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies ,Jurassic Park Series,Editing Video,7/2/2025,3:59:00 PM,4:35:00 PM,36,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies ,Jurassic Park Series,Editing Video,7/2/2025,5:23:00 PM,6:09:00 PM,46,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies ,Jurassic Park Series,Editing Video,7/2/2025,8:21:00 PM,8:51:00 PM,30,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies ,Jurassic Park Series,Editing Video,7/3/2025,8:44:00 AM,8:54:00 AM,10,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Writing Script,7/4/2025,9:49:00 AM,10:20:00 AM,31,Jurassic World: Rebirth,Quick Thoughts,Quick Review
Movies,Jurassic Park Series,Writing Script,7/4/2025,11:33:00 AM,11:41:00 AM,8,Jurassic Park Movies,Rankings,Character Rankings
